idx,text,label
363,aww  you loooove me,"Affectionate User Response 
"
364,"is hungry, twitter.  i want food.","Hunger On Social Media 
"
365,awesome lucky you,"Positive User Sentiment  
"
366," yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   haha","Information Seeking Behavior 
"
367," haha im jewish, i love that one","Jewish Identity Expression   
"
368,"had a great time out in the beer garden wit the boyos !! I think the sun got to me a bit though, feel a bit ill !!","Social Gathering Experience  
"
369, l`m on 3 days too matt. No fun this weekend.,"Weekend Activity Limitations 
"
370, u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u,"App Recommendation Request 
"
371, I feel your pain. Mine is the same way,"Shared Emotional Experience 
"
372,comes home in two days,"Delivery Timeline Expectation  
"
373, Sadly no. It didn`t come with one...,"Missing Accessory Description 
"
374,Cant wait to see my boy tomorrow,"Anticipation Of ChildVisit  
"
375, ehhh no. just a check up. I have a dentist app next week though. getting my molar pulled/root canal.,"Dental Health Concerns   
"
376, aww I miss driving down elmwood,"Nostalgia For Elmwood   
"
377,Omg Wango Tango was **** AWSOME! I love my baby for taking me,"Positive User Experience  
"
378,"Version 2 of our live, interactive Trans-Siberian ticket planner is launched","Ticket Planner Functionality  
"
379,_30439 I really wish I could go!,"Desire For Event Attendance  
"
380," yeah real hard, but I know you`ll get by with it... smile","Participant Confidence In Outcome   
"
381, I`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,"Age Related Perception   
"
382,  This has made my night!!  Way too funny!!,"User Emotional Response 
"
383,Woo CAVS.  Happy Mother`s Day!,"Greeting And Celebration   
"
384, I make that same face when I get home and your mom is watching soaps.,"Television Viewing Habits   
"
385,I have to go to work now.,"Work Obligations  
"
386, I can`t believe you went and got boba without me.,"Social Exclusion Boba   
"
387,"  And to you too, how are you today?","Interviewer Greeting  
"
388, Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,"Arrival Time Uncertainty 
"
389,19 days and counting,"Time Tracking Experience  
"
390, sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,"Time Constraints And Obligations   
"
391,BRAINFREEZE,"BrainFreeze Experiences  
"
392,Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit,"Character Limit Constraint  
"
393,"My sunburn is peeling,","Sunburn Symptoms  
"
394,perky purple nail polish isn`t as perky when its chipped,"Nail Polish Appearance Change  
"
395,"http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer vandalize that door, without being caught.","Smoking Area Surveillance   
"
396,Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,"Play Pen Isolation  
"
397,I hate the dentist,"Negative Dental Experience  
"
398," nothing aimed at you, just joining in...sorry","Social Participation Desire   
"
399,I`m taking a twitter break. Cell is dying,"Social Media Usage  
"
400, qood morninq,"Greeting Exchange   
"
401,writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,"Creative Expression Process   
"
402,needs more followers,"Social Media Presence  
"
403,I wish I could get my nails done  stupid job,"Job Dissatisfaction   
"
404,The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  http://twitpic.com/67aim,"Digital Memory Remembrance   
"
405, the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,"Airline Business Attraction Strategies 
"
406, Have a good one,"User Interaction Experience   
"
407," yep infact she is popular, miss india 99, talented film actress .... and lot more","Public Recognition And Accomplishments 
"
408,Dosen`t Want To Go To Work Tomorrow,"Work Avoidance Motivation  
"
409,Daniel has won DSDS. His voice is great.,"Singing Talent Recognition  
"
410,I need blood O negative,"Blood Type Specificity  
"
411,was hoping to go to Red Lobster this weekend,"Weekend Dining Plans  
"
412,_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,"Social Connection Through Location  
"
413,I sure do hope it becomes 4:20 this afternoon ...,"Time Expectation  
"
414, it means that you are now FAMOUS. Congrats!,"Social Media Recognition   
"
415,My phone passed away yesterday.. He jumped off the table  Searching for a new phone...,"Phone Replacement Process   
"
416,"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!","Social Connection Support  
"
417,tamlyn wishes she was as cool as my sock draw,"Social Comparison Desire  
"
418, so no rice or crusty bread with the chili .... aawww,"Food Preference Expression   
"
419,"  We are of like minds this evening , my dear!","Shared Perspectives  
"
420,come and save me from my packing please?!,"Packing Assistance Request  
"
421,"Yes, I love tea. If that makes me typically English then so be it","Tea Consumption Preference  
"
422, a mouth for sure,"Oral Functionality Description   
"
423,_dec0de I finally just have 1 hour of history... at 3.00 pm! but I went to my highschool at 8.00 am to make some homework with a friend,"Time Management Strategies  
"
424, pancakes!! with lemon and sugar thanks!,"Pancake Preference Expression   
"
425," Si, no bueno  I guess I just don`t entertain him ","Social Interaction Avoidance   
"
426,I`m so hunrgy right now and these heels kill me I can hardly walk in them,"Discomfort With Footwear  
"
427,both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,"Electronic Key Failure  
"
428," Yay, three followers! Good to know more than one person in this big wide world likes fishies.","Social Media Engagement   
"
429,'my name is Tony!!!!!! ...not hey!!!!' -  poor tony,"Social Interaction Dynamics 
"
430,Goodmorning,"Greeting Exchange  
"
431,Took a shift tomorrow.    I don`t really feel like working right now.,"Shift Work Motivation  
"
432," I love mine, too . happy motherÃ¯Â¿Â½s day to your mom , John Taylor  . much love to you, too .","Affectionate Greetings Exchange   
"
433,Saw a black snake in the garden.  Went back for a picture and it was gone,"Garden Snake Encounter 
"
434,http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,"Dog Ownership Experience  
"
435,No waterfront anymore   faccia luna and clarendon will have to do,"Residential Location Preferences  
"
436,loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,"Maternal Affection Expression  
"
437,Slipped up and caught the flu  feeling like poop!,"Illness Symptoms Experience   
"
438,"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47DAYS TIL MCFLY, im so excited  (L)","Anticipation For Mcfly   
"
439,Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,"Passenger Mortality Experience  
"
440,Discovered  and  are sharing on G reader with me and didn`t even know it. Sigh.... I`m such a G reader newb.,"G Reader Usage Experience 
"
441,"is chilled out tonite, so cannot spew venom or write funny. Seems like these are the only 2 styles she has","Writing Style Preferences  
"
442," If u do, please pray 4 me.  Lord knows I need it.","Spiritual Support Seeking 
"
443,aaaaaw i want to live in the USA,"Desire For American Life  
"
444,Morning tweeple,"Social Media Engagement  
"
445," Hey, I didn`t get any !!!","Customer Dissatisfaction   
"
446, Now you only have 2 hours to sleep...  - Rest if you need it.,"Sleep Duration Concerns   
"
447,"  That makes my day so much better, it`s been a rough one. Did I mention I love the new photo!","Positive User Experience  
"
448,I don`t want to sit at home on prom night. Someone hang out with me,"Social Event Desire  
"
449,Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,"Post Surgery Loneliness  
"
450,concert tonight  chackin out and not coming tomorrow!,"Concert Attendance Plans 
"
451, what happened? I thought you were coming back today....,"Anticipated Return   
"
452, lol dammit  well then next time then,"Frustration With Outcome   
"
453, lol. just don`t ever forget me,"Emotional Attachment To User 
"
454, Still jealous,"Emotional Response To Product   
"
455,Me at Forever 21  Ethan couldn`t be there,"Shopping Experience Location   
"
456,NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!!    :**-(,"Emotional Resistance To Change  
"
457,this week of mine was not easy!  but finally it`s over! (:,"Work Week Completion   
"
458,   Wow what a beautiful picture... and by the way....I am straight....just wanted to let you know!!!     Bella,"Personal Identity Expression  
"
459,In Arch. Drawing. Checking out MVCC`s CAD degree. Looks good to me,"CAD Degree Exploration  
"
460," 'there are people and then there are pencils' some are sharp, some are not and some can be sharpened  my pencil philosophy.....","Pencil Sharpening Preferences 
"
461,"just about to go home. I`m usually `mr. positive` but this has been one of those daze. well, 15 mins until tomorrow!","End Of Day Sentiment  
"
462, but you always have lee. Let`s go to Paris,"Travel Aspirations   
"
463, you know you want to come keep me company whilst mum`s at her friends for the night  it`s such a nice evening!,"Companionship Desire Evening 
"
464,cooking with my dad  having lots of fun in the kitchen together,"Shared Kitchen Experiences   
"
465,Bouncing Rush makes me feel nauseous,"Emotional Response To Product  
"
466,Off to Woolsery this morning to (hopefully) see North Molton U16 clinch the North Devon League title. Lovely day for it,"Sports Event Attendance  
"
467,playing singstar without my fave duetter,"Social Music Preference  
"
468,"  you`re missing out, bb! i`m such a cereal nut, i think i like every kind available.","Cereal Consumption Preferences  
"
469," That`s just weird... :\  Oh, and what was it you were drawing for me?","User Confusion Product Drawing   
"
470,Just woke up :o mums singing to her new gn`r cd replacement i bought because im a good daughter,"Daughter Gift Giving  
"
471,"The birds are out,, oh man... That`s NOT cool && I didn`t sleep yet for the night!!!","Sleep Deprivation Impact  
"
472,"250 miles down, only 1750 to go. Thats ok, u2 on the radio alwas helps.","Music Preference During Travel  
"
473,"My Street Fighter IV skills are lacking, can`t beat Seth on easy.","Gaming Skill Level  
"
474, FIL 461 with cool people like me,"Social Group Affiliation   
"
475,Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out,"Weekend Leisure Activities  
"
476, i think it`s under a honeymoon by the good life -- either that or it`s under a honey moon by joseph arthur.,"Music Preference Exploration   
"
477,my son got stung by a bug for the first time  his little finger is slightly swollen.,"Bug Related Injury   
"
478, it was hours ago i came in.... and it`s only now i realised when i went to buy something online,"Delayed Online Purchase Realization   
"
479, oh just referring to our lil exchange on LJ with regards to twitter archive postings.,"Social Media Platform Use 
"
480,Bumping dj opus in the drunk in the car.  lmao. Don`t act like u don`t know.,"Music Consumption Habits   
"
481,Why kiss the feet of the people who kick you when you can be anything that you want to?  morning everyone! Hope you have the best day ever,"Self Empowerment Aspirations 
"
482,Here`s a brief preview:   OMG James is creepy in that role! I`m scared of him,"Actor Performance Anxiety  
"
483,I`m missing crab legs and attending my going away instead!,"Social Event Absence  
"
484,Hicks are mean!,"Negative Social Perception  
"
485,"gettn ready to take a trip to Jersey my dad`s not doing so good, he needs a new heart~whoeva see`s this please say a prayer for my dad","Family Health Concerns  
"
486,"back soon, need to run to the shops and cut the grass","Errands And Chores  
"
487,I`m up. I have a plan to transform my bedroom today. Random.,"Bedroom Transformation Plan  
"
488,"Home until tomorrow. Did my running and spinning. Now time for chiropractor, laundry, shopping, and visiting family. Missing nathan","Daily Routines And Obligations  
"
489, thats another sponsor,"Sponsor Recognition   
"
490," And most of us are going to be stuck in an office, some without windows","Office Work Environment 
"
491, No it`s not sad. Should make you proud,"Emotional Response To Product 
"
492,"   Sorry, we`ll try to keep it down.","Noise Level Concern  
"
493,is home alone.. Doing hw,"Solo Homework Activity  
"
494,"According to , a quarter of families under six live in poverty.","Family Poverty Rates  
"
495,the plan to not spend money is not going well,"Financial Planning Challenges  
"
496,uploading all my bamboozle pictures of facebook,"Social Media Sharing  
"
497, congratulations ! you guys finish a month early than we do. booo,"Project Completion Timeline   
"
498," actually, I wish I was back in Tahoe.  I miss it there.","Nostalgia For Location 
"
